,Filename,Version,Intra_Type,Path,Initial_score,Score,Time
0,TSPA.csv,steepest,nodes,"[ 61  71  20  64  27 147  96 185 181 113 195 171 186 101 109 130  11 152
   1 177 174  45  24 141  87  21 161   4 199  41 137  75 189 134 169 135
  51 112  94  73  31 111  80   8  95  66   6 156  98 190  72 167 175 114
  91  22  53  15 117  55  36  37  59 143 159 178 164 128 132  76 119  92
  48 106  26 144 154  81 194  79 170 127  88 153  50 149   0  69  19  43
 150 192  77 121 108 180  32  62  74 163]",256728,89648,18.136018991470337
1,TSPA.csv,steepest,nodes,"[ 75   1 177 199 192   4  77  43 149  69  19 178 164 159 143 147  27  96
 113  74 163 155 195  36 145  76  31 111  14  80   8 134 175 153  21 194
  79  88 127 186 144 102 154  81  32  62 108  15  53 132 128  59 185  64
  20  71  61 109  92  48 106 160  11 152 130 119  26 169  95 196  51  24
 171 117  22  55   0  50 121  91 161  87 141  94  73 112 135  99 101 167
   6 156  98  72 190  66  45 114 174 189]",257155,89976,17.90667176246643
2,TSPA.csv,steepest,nodes,"[ 64  20  71   0 149  19 147  27  96 128  15 108  66 190  72  95 169  80
   8  26  48  11 152 130 119 134  99 101 175 192 199  41 177   1  75 189
 109 167  45 102 154  81 163  61 113  76  91 114 153  87 144 141  24 186
 127  88   4  77  43  50 121 161 157  21 171 117 195 138  74 155  53  22
  55 132  36 194  79 135  51 112  31  14 111  94  98 156   6 180  32  62
  40 164 178 159 143  59  37 181  25 185]",259333,90670,19.9229953289032
3,TSPA.csv,steepest,nodes,"[ 95  73  72  66  24 153  91 121  77 199  41 177   1 152  11 106  48  43
 149   0 164 185  64  20  71 113 132  36 195  32 180 171  21 186 101  60
 167 127  88 175 174  75 189 109  99  45 170 157 117  15 108  53  22  55
  76 161  51 112  31  14 111  94  79 194  87 144 154  81 128  59  96 147
 143 159 178  19  69  50 114 124  80   8  26 192   4  74 163 155  93  62
 141   6 172 156  98 190 135 134 119 169]",270383,93878,16.506991147994995
4,TSPA.csv,steepest,nodes,"[ 61 183  71  20  59 159 164  51  95 169   8  80  14 111  31  73  12  94
  72 190 112   5  24  81 154 102 144  66  98 156 172   6 141  87  21 157
 161  76 128  37 185  64 181 132  36 114   4  77  43  69   0  55  22 145
 149  50 121  91  15  62  32 180 108 171 194  79  88 153 175 167 189 109
 119  48  11 152  75 177 199 192  19 178 143 147 116  27  96 113 195  53
 117 170 186  45 135  99 101 127  74 163]",250419,91006,16.312732934951782
5,TSPA.csv,steepest,nodes,"[177  41   1  75 130 152  11  48 106  26  24 154  81 117 113 181  25 128
 132  36  22  53  62  32 180 108 171 170 186  45 112  31  80   8 119 109
 189 126 134 169  95  73  94  72 190  98  66 172 156   6 141 144  87 127
 167 101  51 196 135  99   0  69 149  50 153  88 175 114 121  91  74 163
 195  55  76 161   4  77  43  35  19 178 164 159 143 185  64  71  20  27
 147  96  59  21 194  79 192 150 199 174]",261571,88118,18.098870038986206
6,TSPA.csv,steepest,nodes,"[ 55  22 117  15  53 195  36  50  77 192   4 114 121  91 153  88 127   5
 112  31  73  45 186  87 102 144 141  66  51 196 135  79 194 132  96  27
 116 147  37 128 189 152  11 106  48 130   1  41 159 143  59 185  64  20
  71 163  74 113 109 119  26   8  80  14 111  95 169 154  81 180  32  62
 108 171  21 157  24   6 156  98 190  72  94  12  99 101 167 149  69   0
 164 178  19  43 199 177  75 175 161  76]",278293,93640,20.180088996887207
7,TSPA.csv,steepest,nodes,"[ 50 178 164 159 143  59 147  27  96 185 113  81 154 133 102  66 190  98
 156 172   6 144  87 141  24 134  48 106  11 152 130 119  51 112  31  14
 111  94  72  21  22  55  36 132 128  40 177   1 175 153 194  79  95 169
 135  99  60  91 121 114 192 174  75 189 109  26   8  80 101 167 161  76
  15  62  32 180 108 171 186  45 127  88 117  53 163  74 195 145   0 149
  69  19  35  43 137  41 199 150  77   4]",265651,93365,19.622726917266846
8,TSPA.csv,steepest,nodes,"[175 167 101  45 186  15  53 113 181  25  96  27 116 147  59 143 159  64
 185  37 118 132  36  55  22 117  87 144 141  66  72 112  11 152 189  88
 153 161  76 145  40 128  74 163 103 183  20  71  61  43  77 192 174 177
   1  41 199  19 178 164 195 155  93  62  32 180 108 171 157  21 194  79
  50 149   0  28  81 154   6  98  94  31  80   8 110 169  95  51 135 134
 109 119  26 106  48  75   4 121  91 114]",267043,90908,12.810226202011108
9,TSPA.csv,steepest,nodes,"[117  22  55  36 132 128 145  76  91 114 175  60 101 167 121 149  19 178
 164  69  50 109  26   8 112  98 156 172   6  24 127 161   0  40  25 181
  71  20  96  27 147 143  77  48 106  11 152 185  64 163  74  62  66 190
  72  12  94 141 154 131 180  32  81 135  51  95 169 119 130   1 177  41
  43 159  59  37 113 195  53  18  15 108 171 194  79  21 170 186  45 189
  75 199 192   4 153  88  87 144 102 133]",255109,98652,12.080051898956299
