,Filename,Version,Intra_Type,Path,Initial_score,Score,Time
0,TSPC.csv,steepest,nodes,"[ 64 185  96  27 147  59  37 194  79 161  91 114   4  77  43  19 178 164
 143 159 145  76 153  88  51 112  98  66 156   6 141  87 171  15 117  22
  55 195  25 181 113  74 163 155 108 127 167 130 152  11  48  26   8 169
  61  71  20  69  35  50 121 149 115   0  40 128 132  36  53  62  32 180
  81 154  21 157 170 101 134 119 109 189  75   1 177  41 199 150 192  29
   2 175 135  95  31  73  72 190  45 186]",206006,65576,16.917145252227783
1,TSPC.csv,steepest,nodes,"[ 77   4 114 153  88 170 194  79  87 102 144 141  24  95 169 110   8 106
 198  48 119  19 178 143  96  59 159 174 152  11  92  26 135  99  45  81
 180  32  62 108 171  68   5  51 189  75   1 177  41 137 199 192 175 157
  21 117  15 133 154  66  98  94  12  89  31  73  72 190 112 101  60 167
 127  22 195  74 113   0 149  50  76  55  71  61 163 155  53   6 156 172
 186 161  91 121 145  36 132 128 164  43]",207397,69308,11.7725510597229
2,TSPC.csv,steepest,nodes,"[149   0 128 132  36 171 194  21 157  45  99 134 109 189  75 174  83 126
 119   8 110 169  95  72 190  66  24 141   6 156  98  94  89  12 112  51
 135 101 167 175 153  88 127 186 170 113 181  25  64 185 164 121  91 161
  79  87 144 154  81  32  62 163  74 195  73  31  80  26  48  11 152 114
  76 145  55 117  15 108  53  18  22   4 177   1  41  19 147 116  27  96
  59 143 159 178  50  77 192 199 150  43]",214043,64910,14.74329686164856
3,TSPC.csv,steepest,nodes,"[186  45  24   6  66  68 101  60 167 127 170  21  15  61  71  64 185  25
 181 132  36 145  76   0  19 178 164  34  40 128  55  22 195 113  74 163
  32 180  81 154 135 134 109 126 192  77   4 114  91 161  28 117  53 155
  93  62 108 171  87 141  98  72  94  89  12  73  31 139 119 189  75 137
 199  43 149  69 159  59  96 143  50 121  51 112  95 169 124  80 123   8
  26   1  41 177 174 175 153  88 194  79]",211313,62892,13.669388055801392
4,TSPC.csv,steepest,nodes,"[ 77  43 199 174  75 167 127 171 108 155 163  74 132  37 159 143  59  96
  62  32 180  81 154  24  51 135  99 186 170 157  28 117  53  18  22 195
  55 149  50 121  91 161  79 194  21 128 164 178  19   0  49 145  76 114
 177   1 119 169  95 112  98  66   6 141 144 102  87  60 126 134 124  80
 123   8 139 101  36 185  64  25 181 113  15 190  72  73  31  89  94  45
  88 153 175 109  92  48 130 189 192   4]",216324,69176,12.988408088684082
5,TSPC.csv,steepest,nodes,"[164  34 159 143  61 183  71  20  64 185 140  57  85  25 181 113   6 156
  98  66 167 175   4  77 114 157  21  79 194  28  55  36 132 195 155  62
 108  15 117 171 119  92  48  11 152 199  43  19 178 147  27  96  59  37
 128 163  74 145  76 190  72  94  89  31  95 169 135  99 126 137  41 130
 109 189  75   1 177 174 101  45  24 141  87 186 127  88 153  91  69 149
  50 121 161 154  81  53  18  22   0 115]",211271,65914,12.109200239181519
6,TSPC.csv,steepest,nodes,"[160  11 152  22 195  74 163  62 108  81 154 144  87  21 128 118  40 164
 178  19  35  43 174  75 139 110   8 125  26 169  95  31  73 112  51 135
 153  76 145 132  36  55 194  79 127  88 161  49   0 115 149  50 150 199
  41 137 192   4  91  53 117 171  66  94  89  12  72  45 186 167  60 189
 109 119 134 101 175  34 159  59  96 143  69  77 177   1 130 124  80 190
  98   6 141 113  64 185 121 114  48 106]",207829,72167,13.423835039138794
7,TSPC.csv,steepest,nodes,"[ 45  60   9 126  92  48 198 106  26 119  90 134  99 135 196  51 153 161
  76 145 128  37  96 147  43 199  41 174 175  91  55 195  22  53 117  21
 170 112   5 127  88 159  59 143 178  50 121 114   4  77 192 177   1  75
 189 152  11 130 109 101  67  87 144 141   6 156  66 186 149   0 115  69
  19 164  40 132  25 181 113  36 167 139 169  95  72  98  24  79 194 171
  74 163 185  64  20  71  62  81 154 102]",217900,69430,11.995700120925903
8,TSPC.csv,steepest,nodes,"[157 114 121  91 161  79 194  81  62  61  71  20  56  25  88 127 167 101
  45 186  87 141   6 190  72 112   5  51  66 172 156  98  94  73 119 109
 189 177 137  50 149   0 128  37 185  64  96 147 199  41 152  11 160 106
  48   1  43  19 178 143  59 159 164  40  76 153 135  95 169   8 124  80
 107  14 111  31  99  60 175 145  36 132 181 113 163  74 195  55  22  53
 108  15  75 174 192  77   4 117 171  21]",212054,68261,11.658220767974854
9,TSPC.csv,steepest,nodes,"[ 69  19  43  77 192 174  75 189 126 135  51 112  72  94  12  73  31   8
  26  48  92 119 134  99 195  74 163 113  36  91 152  11 130 186  21 171
 117  18  53  15 108  81 154 144  87 194  79  24  98 190  95 169 109   1
 177  41 137 199 175 153  88 127  45  68  66   6 141  62  71  20  64 185
  96  27 116 147  59 132 161 167 101   9  60   4 114 121   0  40 128  37
 159 143 178 164  55  22 145  76  50 149]",222214,63981,12.672489881515503
10,TSPC.csv,steepest,nodes,"[ 21 194  79  24 190  73  31   8  26 177 199 178 143 159 161  72  12  94
  89 111  80 124 110 169  95 135  99 101  60 167  37  59  96 185 181 113
 138  74 163  61  71  20  64 195   6 156  98  66 171 117  55 145  76 175
  75 189 109 130 119  51 112   5  45 132  36  22  18  53  15 108  62  81
 154 144  87 141 186 127  88 153  91 121 114   4  77  43  50 149  19 164
  40 118 128   0 192   1 152  11  48  92]",217555,67815,11.201969861984253
11,TSPC.csv,steepest,nodes,"[ 55 128  59 147  96 185  64 181 113  53 108 180  32  62 155 195  36 132
 145  76   6 156  98  66  24  45 186 127 167 174  39 192 153  88  79 194
 171 163  74 117  21 157 170  51  95 169 139 134  99 101  60 175 114  91
 121  50   4 135 112  94  89  31   8 119 109   1 177  41 199 150  77  43
  35  69  19 178 164 143 159  34  40   0 149  75 189 130 152  11  48  26
  72 190 141  87 144 102 154  81  15  22]",213706,62912,13.398293018341064
12,TSPC.csv,steepest,nodes,"[127  91 121  50 149  49 151 145  76  21 194  87 102 154 133 171 117  15
  62  32 180  81  79 186  48 106 160  11 152  75 189 126  99 134 119 109
   1 177 199 192   2 114 153  88 161 138  74 163 113 181  25 195  55  22
  18  53 108 144 141   6  98  66  24  36 132  96 147  59 143 178  19  69
 115   0  40 128  37 159 164  43  77   4 175 167 135  51   5 112  95 169
 110   8  31  73  89  94  12  72 190  45]",213868,61036,15.459770202636719
13,TSPC.csv,steepest,nodes,"[ 92  48 106  26   8 110 139 169  95  73  72 190 112   5  51 135 141  87
 117  22  53  81 154   6 172 156  98  66  24  36  96 147  59 143 159 145
  76 153  88 127  55 195  25 181 113  74 167  60 126 189  75 137  41 152
  11   1 177 174  83   2   4 121  50   0 128  40 164 178  19  77 192  39
 199 150  43 149 132 185  64  71 163  62 108  15 171  21 157 161  91 114
 175 186 170 194  79  45 101 109 119 130]",212800,63374,17.458831310272217
14,TSPC.csv,steepest,nodes,"[ 87 153 114  77   4   2 175  45  68  66   6 154  32  62  53 155 163  74
 132 178  19  69   0 149 109 119 135  72 190 186  88  34 159 143 158  37
  55  21 194  79 170 127  75   1 152  11 189 126 101 167 121  50  91 161
  76 145 193 164  40 128 172 156  98  94  89  80   8 169  95  51 112  31
  14 111  73  59  96 147  27 185  64 113 195  22 108  81 141  24 174 177
  41 199  43  36  25 181 117 171 102 144]",208402,72241,12.077388763427734
15,TSPC.csv,steepest,nodes,"[190  72  95 169  31 111  14  80   8 119 189  75   1 177  41 199 192  43
  77   4   2 114  91 153  79 194 129 161  50 121 175 101 135  51   5  66
  87 171 181 185  37 178  19  69 149 115   0  76 117  15  18  53  62  32
 180  81 108  22  59  96  27 116 147 143 159 164  40 128 132  36  54  55
 195 138  74 155  93 146   7 183  71  61 163 113  88 127 167 112  73  12
  94  45 186 170 157  21 141   6 156  98]",220387,61934,11.520212173461914
16,TSPC.csv,steepest,nodes,"[ 61 183 103   7 180  32  15 117  22  76  91 121  43  77 199 177  75  88
 127  45   5  80 124   8 139 135  99 101 167 161 145  40  37  85 113 181
  25 185  96 147 143  59 163  74 155  62 108  53  71  20  64 164 178  19
   0 149  50 189 109 119  48  26 110 169  95 112  98 156   6  66 190  72
  12  94  89  31  73  51  60 175   4 114 153 186 141  87 128 118 132  36
 171 194  79  21 130  11 152   1  55 195]",216350,67035,10.961910963058472
17,TSPC.csv,steepest,nodes,"[ 76 161 153 167  60 126  75 177  41   1 135  73  94  31  80   8 139 134
 175 114   2   4  77  43 117  15 108  53  22 195  74 163  62   6  72  95
 169  68  24 141  87  79 194  21 157  91 121  50 149  69   0 186  66  98
 190 112   5  51  99 174 199  19 178 185  64 113 132  37  59  96  27 147
 143 159 164  40 128  36  81 154 133 171  28  55 145 192 189 130 152  11
  48  92  26 119 109 101 127  88 170 129]",212791,65306,14.334506034851074
18,TSPC.csv,steepest,nodes,"[ 62  32 154 144   6  66  98 190  72  60  83 174  75 126  99 135  51  45
 186  76  40  37  27 116 147 178  19 149  91  88 127 153 121  50  43  77
 192   4   2 114 161 157  79 194  21 145 164 159 143  59  96 185  64  81
 102  87 141  24 167 101 134 119   8 110 169  95 112 196 109 189   1 177
 175  55 195  74 113 181 128 132  36  22 117  15  53 163  71  20   0 150
 199  48 106 198 160  11 152 130 171 108]",223855,66855,14.71104621887207
19,TSPC.csv,steepest,nodes,"[133 171 108  15 117  22  55   0  35  43  77 153 127 186  88 161  76 145
  36 132 181  25  85 128  40 164  49  72 190  98   6  66  68 101 174 177
   1 152  48 169  95  79 194 167  60 126 119 109 189 175 114   4 199  41
  75 134 135  51 112  73  31  42  89  12  94  53 195 118  84  37 113  74
 163  96 147  59 143 159 178  19  69 149  50 121  91  21  87 144 141  24
  45 170 157 185  64  20  71  62  81 154]",219737,66800,14.111732959747314
20,TSPC.csv,steepest,nodes,"[ 74  62   6 156  98  72 190  66  76 145 151  49 149  50  77  75 189 101
 167  87 102 154 144 141  24 134 119 109   0 159 143 147 116  27  96  59
 130  92  48 106 160  11 152   4 121  91  22  18  53 195 138 113 181  25
  85  55  36 132 128  40  69  43 150 199 137  39 192 114 161 117  15 108
 171 186  45 135  51 112  95 169  99 127  88 170 157  21 194  79 153 175
 174 177   1  41  19 178 164 185  64 163]",211980,69560,12.558595180511475
21,TSPC.csv,steepest,nodes,"[149  50 121  91 186  45 127  88 153 161  76 145  55 171 102  87 141   8
  26 119 109 175   0 164  34  37 185  64  20  71  61  85  59 143 159 178
  19 199 137 177   1  60 167  21 163  74 195  22  53 117 108  81 154 144
   6 156  66  98 112  51 189  75 174 150  43  77   4 114   2 192  41 188
 152  11  48 130 101 194  79  24  73  31  89  94  62 155 113 181  25  36
  99 135 169  95  72 190 132 128  96 147]",225954,70574,12.448642015457153
22,TSPC.csv,steepest,nodes,"[ 19 178 164 132  36 195  53  62 163  74 113  71  20  64 185 128   0  50
 121  91  60 126 119 134  66   6 141 144 154 102  87  24 186 170  55  22
 117 171 194  79  21 157 114 192 152  11  48  92 130 109 189  75   1 177
  41 137 199  39 174  26   8 110 169  95 190  98 156 172  45 127  88 161
  76 145 159 143  96  59 153  31 111  14  80 124 135  51   5 112  73  12
  94  72 101 167 175   4  77  43 149  69]",213474,61602,13.142313957214355
23,TSPC.csv,steepest,nodes,"[152  11 106  48 112 190  98 141  87 132  10 181  25  85  37 128 145  76
 186  45 167 119  26   8  80 111  31  73  72 155 163  74 113  36  77 199
  75 189 192   4 114  64 185  59  96  27 116 147 143 159  40  24   6 156
  66 161  49 164 178  19  69   0 195  53  18  15 117  28 129 153  88 127
 170 194  21 157 149  50 121  91  55  22 108  81 154 144 101  99 135 169
  95  79  62  93  32 180 171 175 177   1]",208027,72468,13.920348882675171
24,TSPC.csv,steepest,nodes,"[ 80  92  11 152 130  24  87 144 141   6 156  66  45   4  77 192 150 199
 174 167 186 170  21 157 127  88 153 121 149  69   0  49 195  22  55 145
  19 178 164 128 132 185  96  59 143 159 169  95  98 154  81 171 194  79
 161  91 114 175  60 101  99 135 196 134  75 137 177 189 109 119 139   8
 125  26 106 198  48   1  41  36 113  74 163 155  93 180  32  62  53 108
  15 117  28  76  50  43  51 112  73  31]",202111,67847,12.636929988861084
25,TSPC.csv,steepest,nodes,"[161  76 145 185  64 163  74 194  79  81 154 144  87 171 108  15 170 186
 127  88 153 159 143 178  19  35 174  75 189 109  66   6 141  21 157  28
 117  22 195  36  37  96 147  59 167   5 112  51 135 101 175 114 121  91
  45  98 190  72  73  95  50 149   0  49  55  53  62  32 180  93 155 138
 113 181  25 132 128  40 164  43   1 152  48 198 106  26   8 105 123  80
 124 169 119 177 199 150 192  77   4   2]",218011,68131,11.807304859161377
26,TSPC.csv,steepest,nodes,"[ 36 132 118 128  40   0 149 161  24   6  66  75 177   1 189 109 119 152
  11  48  26 123  80  31  94 154  81 180  32  62 155 195  22  18  53  15
 117 194  79 170  88 127  87 144 141 156  98 190  72 112   5  51 135  99
  45 186  74 113 181  25  37 164  19  69  50  77  43 178 143 147  96  59
 159  34 153 167 101 134 139   8 169  95 175   4 114 121  91  76 145 185
  64  20  71  61 163 108 171  21 157  55]",210983,63204,15.480451822280884
